module_id,title,subtitle,domain,category,status,dependencies,related_modules,difficulty,content_type
SLP-019,Body Temperature and Sleep,"Core concepts, physiology, evidence, and practical implications of body temperature and sleep.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-020,Hormones and Sleep,"Core concepts, physiology, evidence, and practical implications of hormones and sleep.",Sleep,Sleep Foundations,pending,,,Foundation,foundational
SLP-021,Sleep and Brain Health,"How sleep and brain health are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-022,Sleep and Memory,"How sleep and memory are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-023,Sleep and Learning,"How sleep and learning are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-024,Sleep and Attention,"How sleep and attention are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-025,Sleep and Mood,"How sleep and mood are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-026,Sleep and Stress,"How sleep and stress are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-027,Sleep and Anxiety,"How sleep and anxiety are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-028,Sleep and Depression,"How sleep and depression are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-029,Sleep and Immunity,"How sleep and immunity are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-030,Sleep and Inflammation,"How sleep and inflammation are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-031,Sleep and Cardiovascular Health,"How sleep and cardiovascular health are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-032,Sleep and Blood Pressure,"How sleep and blood pressure are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-033,Sleep and Glucose Regulation,"How sleep and glucose regulation are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-034,Sleep and Diabetes Risk,"How sleep and diabetes risk are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-035,Sleep and Appetite,"How sleep and appetite are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-036,Sleep and Weight Regulation,"How sleep and weight regulation are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-037,Sleep and Exercise Recovery,"How sleep and exercise recovery are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-038,Sleep and Muscle Adaptation,"How sleep and muscle adaptation are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-039,Sleep and Athletic Performance,"How sleep and athletic performance are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-040,Sleep and Pain,"How sleep and pain are connected, what the evidence shows, and what matters in practice.",Sleep,Sleep and Health,pending,,,Foundation,foundational
SLP-041,Sleep Hygiene,Evidence-based ways to understand and improve sleep hygiene.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-042,Building a Bedtime Routine,Evidence-based ways to understand and improve building a bedtime routine.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-043,Keeping a Consistent Sleep Schedule,Evidence-based ways to understand and improve keeping a consistent sleep schedule.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-044,Morning Light Exposure,Evidence-based ways to understand and improve morning light exposure.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-045,Evening Light Exposure,Evidence-based ways to understand and improve evening light exposure.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-046,Bedroom Darkness,Evidence-based ways to understand and improve bedroom darkness.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-047,Bedroom Temperature,Evidence-based ways to understand and improve bedroom temperature.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-048,Noise and Sleep,Evidence-based ways to understand and improve noise and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-049,Mattresses and Sleep,Evidence-based ways to understand and improve mattresses and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-050,Pillows and Sleep,Evidence-based ways to understand and improve pillows and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-051,Screen Use Before Bed,Evidence-based ways to understand and improve screen use before bed.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-052,Caffeine and Sleep,Evidence-based ways to understand and improve caffeine and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-053,Alcohol and Sleep,Evidence-based ways to understand and improve alcohol and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-054,Nicotine and Sleep,Evidence-based ways to understand and improve nicotine and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-055,Cannabis and Sleep,Evidence-based ways to understand and improve cannabis and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-056,Meal Timing and Sleep,Evidence-based ways to understand and improve meal timing and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-057,Exercise Timing and Sleep,Evidence-based ways to understand and improve exercise timing and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-058,Relaxation Before Bed,Evidence-based ways to understand and improve relaxation before bed.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-059,Breathing Exercises for Sleep,Evidence-based ways to understand and improve breathing exercises for sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-060,Meditation and Sleep,Evidence-based ways to understand and improve meditation and sleep.,Sleep,Healthy Sleep Habits,pending,,,Foundation,foundational
SLP-061,Napping,"Practical guidance, tradeoffs, and evidence related to napping.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-062,Power Naps,"Practical guidance, tradeoffs, and evidence related to power naps.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-063,Long Naps,"Practical guidance, tradeoffs, and evidence related to long naps.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-064,Weekend Catch-Up Sleep,"Practical guidance, tradeoffs, and evidence related to weekend catch-up sleep.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-065,Sleep Debt,"Practical guidance, tradeoffs, and evidence related to sleep debt.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-066,Social Jet Lag,"Practical guidance, tradeoffs, and evidence related to social jet lag.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-067,Jet Lag,"Practical guidance, tradeoffs, and evidence related to jet lag.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-068,Shift Work and Sleep,"Practical guidance, tradeoffs, and evidence related to shift work and sleep.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-069,Night Shift Sleep Strategies,"Practical guidance, tradeoffs, and evidence related to night shift sleep strategies.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-070,Travel and Sleep,"Practical guidance, tradeoffs, and evidence related to travel and sleep.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-071,Sleeping in Hotels,"Practical guidance, tradeoffs, and evidence related to sleeping in hotels.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-072,Daylight Saving Time,"Practical guidance, tradeoffs, and evidence related to daylight saving time.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-073,Early Morning Schedules,"Practical guidance, tradeoffs, and evidence related to early morning schedules.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-074,Late-Night Schedules,"Practical guidance, tradeoffs, and evidence related to late-night schedules.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-075,Sleep for Busy Professionals,"Practical guidance, tradeoffs, and evidence related to sleep for busy professionals.",Sleep,Sleep Timing and Real Life,pending,,,Foundation,foundational
SLP-076,Insomnia,"Definitions, symptoms, evaluation, management, safety, and evidence related to insomnia.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-077,Acute Insomnia,"Definitions, symptoms, evaluation, management, safety, and evidence related to acute insomnia.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-078,Chronic Insomnia,"Definitions, symptoms, evaluation, management, safety, and evidence related to chronic insomnia.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-079,Cognitive Behavioral Therapy for Insomnia,"Definitions, symptoms, evaluation, management, safety, and evidence related to cognitive behavioral therapy for insomnia.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-080,Stimulus Control for Insomnia,"Definitions, symptoms, evaluation, management, safety, and evidence related to stimulus control for insomnia.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-081,Sleep Restriction Therapy,"Definitions, symptoms, evaluation, management, safety, and evidence related to sleep restriction therapy.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-082,Relaxation Therapy for Insomnia,"Definitions, symptoms, evaluation, management, safety, and evidence related to relaxation therapy for insomnia.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-083,Sleep Medications,"Definitions, symptoms, evaluation, management, safety, and evidence related to sleep medications.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-084,Melatonin,"Definitions, symptoms, evaluation, management, safety, and evidence related to melatonin.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-085,Sleep Apnea,"Definitions, symptoms, evaluation, management, safety, and evidence related to sleep apnea.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-086,Obstructive Sleep Apnea,"Definitions, symptoms, evaluation, management, safety, and evidence related to obstructive sleep apnea.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-087,Central Sleep Apnea,"Definitions, symptoms, evaluation, management, safety, and evidence related to central sleep apnea.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-088,Snoring,"Definitions, symptoms, evaluation, management, safety, and evidence related to snoring.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-089,CPAP Therapy,"Definitions, symptoms, evaluation, management, safety, and evidence related to cpap therapy.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-090,Oral Appliances for Sleep Apnea,"Definitions, symptoms, evaluation, management, safety, and evidence related to oral appliances for sleep apnea.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-091,Restless Legs Syndrome,"Definitions, symptoms, evaluation, management, safety, and evidence related to restless legs syndrome.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-092,Periodic Limb Movements,"Definitions, symptoms, evaluation, management, safety, and evidence related to periodic limb movements.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-093,Parasomnias,"Definitions, symptoms, evaluation, management, safety, and evidence related to parasomnias.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-094,Sleepwalking,"Definitions, symptoms, evaluation, management, safety, and evidence related to sleepwalking.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-095,Nightmares,"Definitions, symptoms, evaluation, management, safety, and evidence related to nightmares.",Sleep,Sleep Problems and Disorders,pending,,,Foundation,foundational
SLP-096,Sleep Paralysis,"Evidence, common questions, limitations, and practical considerations for sleep paralysis.",Sleep,Special Sleep Topics,pending,,,Foundation,foundational
SLP-097,REM Sleep Behavior Disorder,"Evidence, common questions, limitations, and practical considerations for rem sleep behavior disorder.",Sleep,Special Sleep Topics,pending,,,Foundation,foundational
SLP-098,Sleep Tracking Devices,"Evidence, common questions, limitations, and practical considerations for sleep tracking devices.",Sleep,Special Sleep Topics,pending,,,Foundation,foundational
SLP-099,Sleep Scores,"Evidence, common questions, limitations, and practical considerations for sleep scores.",Sleep,Special Sleep Topics,pending,,,Foundation,foundational
SLP-100,Smartwatches and Sleep,"Evidence, common questions, limitations, and practical considerations for smartwatches and sleep.",Sleep,Special Sleep Topics,pending,,,Foundation,foundational
STR-001,What Is Stress,"Core mechanisms, evidence, and practical implications of what is stress.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-002,Acute Stress,"Core mechanisms, evidence, and practical implications of acute stress.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-003,Chronic Stress,"Core mechanisms, evidence, and practical implications of chronic stress.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-004,The Stress Response,"Core mechanisms, evidence, and practical implications of the stress response.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-005,Fight Flight Freeze Response,"Core mechanisms, evidence, and practical implications of fight flight freeze response.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-006,Stress and the Autonomic Nervous System,"Core mechanisms, evidence, and practical implications of stress and the autonomic nervous system.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-007,Stress and the HPA Axis,"Core mechanisms, evidence, and practical implications of stress and the hpa axis.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-008,Cortisol,"Core mechanisms, evidence, and practical implications of cortisol.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-009,Adrenaline and Noradrenaline,"Core mechanisms, evidence, and practical implications of adrenaline and noradrenaline.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-010,Stress Appraisal,"Core mechanisms, evidence, and practical implications of stress appraisal.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-011,Stress Resilience,"Core mechanisms, evidence, and practical implications of stress resilience.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-012,Allostatic Load,"Core mechanisms, evidence, and practical implications of allostatic load.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-013,Stress Recovery,"Core mechanisms, evidence, and practical implications of stress recovery.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-014,Eustress and Distress,"Core mechanisms, evidence, and practical implications of eustress and distress.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-015,Stress Triggers,"Core mechanisms, evidence, and practical implications of stress triggers.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-016,Stress Reactivity,"Core mechanisms, evidence, and practical implications of stress reactivity.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-017,Stress Tolerance,"Core mechanisms, evidence, and practical implications of stress tolerance.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-018,Psychological Flexibility,"Core mechanisms, evidence, and practical implications of psychological flexibility.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-019,Emotional Regulation,"Core mechanisms, evidence, and practical implications of emotional regulation.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-020,Mental Well-Being,"Core mechanisms, evidence, and practical implications of mental well-being.",Stress and Mental Well-Being,Stress Foundations,pending,,,Foundation,foundational
STR-021,Stress and Sleep,"How stress and sleep are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-022,Stress and Appetite,"How stress and appetite are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-023,Stress and Weight,"How stress and weight are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-024,Stress and Blood Sugar,"How stress and blood sugar are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-025,Stress and Blood Pressure,"How stress and blood pressure are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-026,Stress and Heart Health,"How stress and heart health are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-027,Stress and Immunity,"How stress and immunity are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-028,Stress and Inflammation,"How stress and inflammation are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-029,Stress and Digestion,"How stress and digestion are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-030,Stress and the Gut,"How stress and the gut are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-031,Stress and Headaches,"How stress and headaches are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-032,Stress and Muscle Tension,"How stress and muscle tension are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-033,Stress and Pain,"How stress and pain are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-034,Stress and Fatigue,"How stress and fatigue are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-035,Stress and Sexual Health,"How stress and sexual health are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-036,Stress and Skin,"How stress and skin are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-037,Stress and Memory,"How stress and memory are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-038,Stress and Attention,"How stress and attention are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-039,Stress and Decision Making,"How stress and decision making are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-040,Stress and Exercise Recovery,"How stress and exercise recovery are linked, including mechanisms, evidence, and practical relevance.",Stress and Mental Well-Being,Stress and the Body,pending,,,Foundation,foundational
STR-041,Breathing for Stress Relief,"How to use breathing for stress relief, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-042,Diaphragmatic Breathing,"How to use diaphragmatic breathing, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-043,Box Breathing,"How to use box breathing, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-044,Slow Breathing,"How to use slow breathing, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-045,Progressive Muscle Relaxation,"How to use progressive muscle relaxation, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-046,Mindfulness,"How to use mindfulness, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-047,Mindfulness Meditation,"How to use mindfulness meditation, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-048,Body Scan Meditation,"How to use body scan meditation, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-049,Focused Attention Meditation,"How to use focused attention meditation, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-050,Open Monitoring Meditation,"How to use open monitoring meditation, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-051,Guided Imagery,"How to use guided imagery, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-052,Yoga for Stress,"How to use yoga for stress, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-053,Tai Chi for Stress,"How to use tai chi for stress, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-054,Walking for Stress Relief,"How to use walking for stress relief, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-055,Exercise for Stress Management,"How to use exercise for stress management, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-056,Time in Nature,"How to use time in nature, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-057,Music and Stress,"How to use music and stress, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-058,Journaling,"How to use journaling, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-059,Gratitude Practices,"How to use gratitude practices, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-060,Self-Compassion,"How to use self-compassion, what evidence supports it, and common limitations.",Stress and Mental Well-Being,Stress Management Skills,pending,,,Foundation,foundational
STR-061,Healthy Coping,Evidence-based approaches for understanding and improving healthy coping.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-062,Avoidant Coping,Evidence-based approaches for understanding and improving avoidant coping.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-063,Problem-Focused Coping,Evidence-based approaches for understanding and improving problem-focused coping.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-064,Emotion-Focused Coping,Evidence-based approaches for understanding and improving emotion-focused coping.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-065,Reframing Stress,Evidence-based approaches for understanding and improving reframing stress.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-066,Acceptance,Evidence-based approaches for understanding and improving acceptance.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-067,Setting Boundaries,Evidence-based approaches for understanding and improving setting boundaries.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-068,Saying No,Evidence-based approaches for understanding and improving saying no.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-069,Time Management and Stress,Evidence-based approaches for understanding and improving time management and stress.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-070,Prioritization,Evidence-based approaches for understanding and improving prioritization.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-071,Reducing Overcommitment,Evidence-based approaches for understanding and improving reducing overcommitment.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-072,Managing Uncertainty,Evidence-based approaches for understanding and improving managing uncertainty.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-073,Managing Worry,Evidence-based approaches for understanding and improving managing worry.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-074,Rumination,Evidence-based approaches for understanding and improving rumination.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-075,Perfectionism,Evidence-based approaches for understanding and improving perfectionism.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-076,Procrastination and Stress,Evidence-based approaches for understanding and improving procrastination and stress.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-077,Digital Overload,Evidence-based approaches for understanding and improving digital overload.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-078,News Overload,Evidence-based approaches for understanding and improving news overload.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-079,Social Media and Stress,Evidence-based approaches for understanding and improving social media and stress.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-080,Building Recovery Time,Evidence-based approaches for understanding and improving building recovery time.,Stress and Mental Well-Being,Behavior and Coping,pending,,,Foundation,foundational
STR-081,Workplace Stress,"Common causes, effects, warning signs, and practical strategies for workplace stress.",Stress and Mental Well-Being,Work and Life Stress,pending,,,Foundation,foundational
